BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
Tokyu Stay Aoyama Premier,"Minato, Tokyo",745 reviews,"PKR 20,626",Residential Double Room - Non-Smoking,1 double bed,8.4
Tokyu Stay Ginza,"Chuo Ward, Tokyo","1,206 reviews","PKR 17,525",Moderate Double Room with Small Double Bed - Smoking,1 double bed,8.7
Minn Ueno,"Taito, Tokyo",277 reviews,"PKR 25,549",Standard Family Room,"6 beds (4 singles, 2 sofa beds)",8.8
Belken Hotel Tokyo,"Chuo Ward, Tokyo","2,737 reviews","PKR 27,660",Superior Single Room - Non-Smoking,1 large double bed,8.5
GATE STAY TOKYO Sta HATCHOBORI,"Chuo Ward, Tokyo",29 reviews,"PKR 41,927",Deluxe Twin Room,2 single beds,8.9
Hotel Mystays Gotanda Station,"Shinagawa Ward, Tokyo","2,430 reviews","PKR 21,837",Standard Double Room with Small Double Bed - Non-Smoking,1 single bed,7.6
Mitsui Garden Hotel Ginza-gochome,"Chuo Ward, Tokyo","1,335 reviews","PKR 22,419",Moderate Double Room,1 large double bed,8.7
Hotel Wing International Premium Shibuya,"Shibuya Ward, Tokyo",125 reviews,"PKR 21,619",Standard Double Room - Non-Smoking,1 double bed,8.3
Hotel Graphy Nezu,"Taito, Tokyo",853 reviews,"PKR 22,294",Small Double Room with Shared Bathroom,1 single bed,8.4
KOKO HOTEL Ginza-1chome,"Chuo Ward, Tokyo","2,141 reviews","PKR 15,431",Double Room - Non-Smoking ,1 double bed,8.2
Hotel Emit Shibuya,"Shibuya Ward, Tokyo","2,934 reviews","PKR 19,697",Double Room　Non - Smoking,1 double bed,8.2
The Royal Park Hotel Tokyo Haneda,"Ota Ward, Tokyo","4,989 reviews","PKR 37,851",Seasonal promotion - Double Room,1 large double bed,8.5
Agora Tokyo Ginza,"Chuo Ward, Tokyo",356 reviews,"PKR 17,470",Superior King Room,1 large double bed,8.8
Solaria Nishitetsu Hotel Ginza,"Chuo Ward, Tokyo",940 reviews,"PKR 26,204",Double Room - Non-Smoking ,1 large double bed,8.6
Sunshine City Prince Hotel Ikebukuro,"Toshima, Tokyo","1,654 reviews","PKR 24,556",Economy Twin Room - Non-Smoking 10-16th Floor ,2 single beds,8.4
APA Hotel Shibuya Dogenzakaue,"Shibuya Ward, Tokyo","1,657 reviews","PKR 23,875",Small Double Room - Smoking,1 single bed,7.4
APA Hotel Ginza-Takaracho,"Chuo Ward, Tokyo","1,800 reviews","PKR 13,393",Double Room with Small Double Bed - Smoking,1 single bed,7.7
APA Hotel Roppongi SIX,"Minato, Tokyo",488 reviews,"PKR 15,140",Double Room - Smoking,1 double bed,8
Comfort Suites Tokyo Bay,"Urayasu, Tokyo","3,559 reviews","PKR 17,324",Standard Twin Room - Non-Smoking,2 double beds,9
APA Hotel Shimbashi Toranomon,"Minato, Tokyo","1,100 reviews","PKR 18,052",Double Room - Non-Smoking ,1 double bed,7.6
Ginza Grand Hotel,"Chuo Ward, Tokyo",931 reviews,"PKR 17,033",Double Room - Smoking,1 large double bed,7.7
Tokyo Bay Tokyu Hotel,"Urayasu, Tokyo","3,538 reviews","PKR 21,546",Twin Room (3rd - 11th Floor) - Non-Smoking,2 single beds,9.1
Hotel Wing International Select Ueno Okachimachi,"Taito, Tokyo",488 reviews,"PKR 14,107",Small Double Room,1 double bed,8.3
Tokyu Stay Shibuya Shin-Minamiguchi,"Shibuya Ward, Tokyo",524 reviews,"PKR 21,750",Economy Double Room - Smoking,1 double bed,8.2
Hotel Sunroute Asakusa,"Taito, Tokyo",573 reviews,"PKR 10,787",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.4
APA Hotel Ginza Kyobashi,"Chuo Ward, Tokyo","1,899 reviews","PKR 15,140",Double Room with Small Double Bed - Smoking,1 single bed,7.5
Tokyo Bay Ariake Washington Hotel,"Koto Ward, Tokyo","4,827 reviews","PKR 15,490",Small Double Room with Small Double Bed - Non-Smoking - 2 Nights Minimum,1 double bed,7.7
Agora Place Tokyo Asakusa,"Taito, Tokyo","1,890 reviews","PKR 12,137",Standard Semi Double Room - Non-Smoking,1 single bed,8.1
Sotetsu Fresa Inn Tokyo-Kyobashi,"Chuo Ward, Tokyo","2,139 reviews","PKR 15,315",Economy Double Room with Small Double Bed with Shower Booth - Smoking,1 single bed,8.2
Comfort Hotel Tokyo Kanda,"Chiyoda, Tokyo",362 reviews,"PKR 14,209",Double Room - Non-Smoking ,1 double bed,8.2
MusBee Tokyo Hamamatsucho,"Minato, Tokyo",943 reviews,"PKR 11,530",Standard Twin Room - Non-Smoking,2 single beds,8
Sotetsu Fresa Inn Tokyo-Akasaka,"Minato, Tokyo","1,587 reviews","PKR 17,261",Superior Double Room - Non-Smoking,1 double bed,8.2
Sotetsu Fresa Inn Tokyo Roppongi,"Minato, Tokyo","1,470 reviews","PKR 18,634",Double Room - Non-Smoking ,1 double bed,8.4
Akihabara Washington Hotel,"Chiyoda, Tokyo","1,271 reviews","PKR 17,819",Ladies Room - Non-Smoking,1 double bed,8.5
hotel MONday Tokyo Nishikasai Annex,"Edogawa, Tokyo",65 reviews,"PKR 27,951",Superior Double Room,1 double bed,9.1
Daiwa Roynet Hotel Tokyo Kyobashi,"Chuo Ward, Tokyo",203 reviews,"PKR 26,117",Standard Twin Room,2 single beds,8.5
Nest Hotel Tokyo Hanzomon,"Chiyoda, Tokyo","3,407 reviews","PKR 12,491",Economy Double Room - Non-Smoking,1 single bed,8.5
APA Hotel Kanda Ekimae,"Chiyoda, Tokyo","1,080 reviews","PKR 16,305",Double Room - Non-Smoking ,1 double bed,8.3
Mitsui Garden Hotel Toyosu BAYSIDE CROSS Tokyo,"Koto Ward, Tokyo",759 reviews,"PKR 32,668",Comfort Double Room - Non-Smoking,1 double bed,9
Super Hotel Tokyo Kinshicho Ekimae,"Sumida Ward, Tokyo",315 reviews,"PKR 20,381",Economy Double Room,1 double bed,8.4
APA Hotel Ueno Ekimae,"Taito, Tokyo",18 reviews,"PKR 19,002",Standard Double Room - Non-Smoking,1 double bed,7.2
Hotel Vista Tokyo Tsukiji,"Chuo Ward, Tokyo",425 reviews,"PKR 16,305",Small Double Room,1 double bed,8.7
Haneda Excel Hotel Tokyu,"Ota Ward, Tokyo","1,445 reviews","PKR 46,619",Standard Twin Room - Non-Smoking,2 single beds,8.4
Henn na Hotel Tokyo Haneda,"Ota Ward, Tokyo","1,583 reviews","PKR 15,286",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.4
Hotel Intergate Tokyo Kyobashi,"Chuo Ward, Tokyo","1,548 reviews","PKR 17,470",Double Room Selected at Check-in - Non-Smoking,1 double bed,8.8
Red Planet Tokyo Asakusa,"Taito, Tokyo","2,969 reviews","PKR 11,585",Twin Room - Non-Smoking,2 single beds,8.7
HOTEL MYSTAYS Gotanda,"Shinagawa Ward, Tokyo",911 reviews,"PKR 13,976",No-Room-Cleaning-Service - Double Room with Small Double Bed - Non-Smoking,1 single bed,7.7
APA Hotel Ningyocho-eki Kita,"Chuo Ward, Tokyo","1,138 reviews","PKR 13,393",Double Room with Small Double Bed - Smoking,1 single bed,8
APA Hotel Akihabara-Ekimae,"Chiyoda, Tokyo","1,357 reviews","PKR 15,577",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.9
TOKYU STAY SHINJUKU EASTSIDE,"Shinjuku Ward, Tokyo",15 reviews,"PKR 20,701",Residential Double Room,1 large double bed,8.5
APA Hotel Asakusa Kaminarimon,"Taito, Tokyo","1,865 reviews","PKR 15,140",Double Room - Non-Smoking ,1 double bed,8.5
Comfort Hotel Tokyo Kiyosumi Shirakawa,"Koto Ward, Tokyo",533 reviews,"PKR 12,811",Double Room - Non-Smoking ,1 double bed,8.3
APA Hotel Kanda-Eki Higashi,"Chiyoda, Tokyo",953 reviews,"PKR 13,393",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.5
Hotel JAL City Haneda Tokyo,"Ota Ward, Tokyo","1,917 reviews","PKR 25,622",Standard Floor Double Room ,1 large double bed,8.1
Bayside Hotel Azur Takeshiba,"Minato, Tokyo",487 reviews,"PKR 21,546",Double Room with City View - Non-Smoking,1 large double bed,8
Sotetsu Fresa Inn Tokyo Tamachi,"Minato, Tokyo","1,337 reviews","PKR 17,286",Double Room - Non-Smoking ,1 double bed,8.3
the b akasaka,"Minato, Tokyo","1,879 reviews","PKR 14,558",Limited Offer - Superior Twin Room - Non-Smoking,2 single beds,8.1
Hotel Sunroute Plaza Shinjuku,"Shibuya Ward, Tokyo","6,791 reviews","PKR 26,664",Economy Double Room - Non-Smoking,1 double bed,8.3
Best Western Hotel Fino Tokyo Akihabara,"Taito, Tokyo","2,397 reviews","PKR 16,596",Double Room,1 double bed,8.6
APA Hotel Roppongi Ekimae,"Minato, Tokyo","1,224 reviews","PKR 20,963",Double Room - Non-Smoking ,1 double bed,8
Hotel Risveglio Akasaka,"Minato, Tokyo","2,020 reviews","PKR 17,662",Hollywood Twin Room,2 single beds,8.8
APA Hotel Keisei Ueno Ekimae,"Taito, Tokyo","4,287 reviews","PKR 18,052",Double Room - Smoking,1 double bed,8.1
Mitsui Garden Hotel Otemachi,"Chiyoda, Tokyo","2,221 reviews","PKR 21,626",Moderate Double Room - Non-Smoking ,1 double bed,8.7
Sotetsu Fresa Inn Ginza Sanchome,"Chuo Ward, Tokyo","2,420 reviews","PKR 15,373",Double Room - Non-Smoking ,1 double bed,8.4
Shinagawa Tobu Hotel,"Minato, Tokyo","1,534 reviews","PKR 23,875",Standard Twin Room - Non-Smoking,2 single beds,8.2
Richmond Hotel Tokyo Suidobashi,"Bunkyo, Tokyo","1,967 reviews","PKR 19,653",Moderate Double Room - Non-Smoking ,1 double bed,8.5
Quintessa Hotel Tokyo Ginza,"Chuo Ward, Tokyo",781 reviews,"PKR 24,341",Standard Double Room,1 double bed,8.4
Akari Ueno Iriya,"Taito, Tokyo",89 reviews,"PKR 23,726",Deluxe Family Room,"4 beds (2 sofa beds, 2 large doubles)",8.8
Toshi Center Hotel,"Chiyoda, Tokyo","2,150 reviews","PKR 24,370",Small Twin Room - Non-Smoking,2 single beds,8.4
Book And Bed Tokyo Shinjuku,"Shinjuku Ward, Tokyo","1,220 reviews","PKR 19,217",Double,Bed in dormitory,8
Hotel Sunroute Ginza,"Chuo Ward, Tokyo","1,545 reviews","PKR 23,293",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.4
APA Hotel Hatchobori Shintomicho,"Chuo Ward, Tokyo",819 reviews,"PKR 15,140",Double Room - Smoking,1 double bed,8.2
Hotel Wing International Select Asakusa Komagata,"Taito, Tokyo",331 reviews,"PKR 12,170",Double Room - Non-Smoking ,1 double bed,8.7
Comfort Hotel Tokyo Higashi Kanda,"Chiyoda, Tokyo",931 reviews,"PKR 16,072",Standard Double Room - Non-Smoking,1 double bed,8.7
Best Western hotel Fino Tokyo Akasaka,"Minato, Tokyo",714 reviews,"PKR 16,305",Moderate Double Room - Non-Smoking ,1 double bed,8.3
APA Hotel Iidabashi-Eki Minami,"Chiyoda, Tokyo","1,119 reviews","PKR 16,305",Double Room - Non-Smoking ,1 double bed,8
Daiwa Roynet Hotel Shimbashi,"Minato, Tokyo",865 reviews,"PKR 23,235",Limited Time Offer - Standard Double Room - Non-Smoking,1 double bed,8.7
APA HOTEL〈Akihabara Ekikita〉,"Taito, Tokyo",94 reviews,"PKR 15,140",Standard Double Room - Non-Smoking,1 double bed,8
APA Hotel Mita-Ekimae,"Minato, Tokyo","1,364 reviews","PKR 18,052",Double Room - Non-Smoking ,1 double bed,7.5
remm Roppongi,"Minato, Tokyo",928 reviews,"PKR 21,501",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.6
APA Hotel Shimbashi Onarimon,"Minato, Tokyo",927 reviews,"PKR 18,052",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.4
APA Hotel Tokyo Kudanshita,"Chiyoda, Tokyo","1,558 reviews","PKR 16,305",Semi Double Room - Smoking ,1 single bed,7.5
APA Hotel Omori Ekimae,"Ota Ward, Tokyo",344 reviews,"PKR 18,052",Standard Room - Non-Smoking (2 Adults),1 double bed,8.2
Millennium Mitsui Garden Hotel Tokyo,"Chuo Ward, Tokyo","1,553 reviews","PKR 29,334",Moderate Queen Room - Non-Smoking,1 large double bed,8.8
Hotel Resol Ueno,"Taito, Tokyo",935 reviews,"PKR 21,400",Double Room with Small Double Bed,1 double bed,8.7
Mitsui Garden Hotel Roppongi Tokyo Premier,"Minato, Tokyo","1,833 reviews","PKR 30,717",Room Selected at Check-In - Non-Smoking,1 double bed,8.9
the b ochanomizu,"Chiyoda, Tokyo","1,504 reviews","PKR 16,378",Double Room,1 large double bed,8.3
APA Hotel Asakusa Ekimae,"Taito, Tokyo","4,266 reviews","PKR 15,140",Standard Double Room - Non-Smoking,1 double bed,8.5
APA Hotel Sugamo Ekimae,"Toshima, Tokyo","3,913 reviews","PKR 18,052",Double Room - Non-Smoking ,1 double bed,8.3
HOTEL MYSTAYS PREMIER Omori,"Shinagawa Ward, Tokyo","3,455 reviews","PKR 14,936",Comfort King Room - Non-Smoking ,1 large double bed,8.2
Hotel Wing International Tokyo Akabane,"Kita, Tokyo",721 reviews,"PKR 16,247",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.4
Akasaka Excel Hotel Tokyu,"Minato, Tokyo",358 reviews,"PKR 24,661",19㎡ Single Room with 120cm x 195cm Single Bed- Non Smoking,1 single bed,8.2
HOTEL TAVINOS HAMAMATSUCHO,"Minato, Tokyo",609 reviews,"PKR 15,213",Double Room - Non-Smoking ,1 large double bed,8.5
sequence MIYASHITA PARK / SHIBUYA,"Shibuya Ward, Tokyo",754 reviews,"PKR 35,769",Queen Room,1 double bed,8.3
Candeo Hotels Tokyo Shimbashi,"Minato, Tokyo","1,381 reviews","PKR 31,706",Double Room,1 double bed,8.6
APA Hotel Hanzomon Hirakawacho,"Chiyoda, Tokyo","2,218 reviews","PKR 16,014",Double Room - Non-Smoking ,1 double bed,7.8
Universal Haneda,"Ota Ward, Tokyo",907 reviews,"PKR 15,775",Apartment,Entire apartment • 1 bedroom • 25m²,9
Kario Kamata,"Ota Ward, Tokyo",426 reviews,"PKR 27,515",Standard Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 25m²,8.4
Jeffery Skytree Residence Tokyo,"Sumida Ward, Tokyo",121 reviews,"PKR 24,947",Deluxe Double Room with Balcony,1 double bed,8.8
Grand Nikko Tokyo Bay Maihama,"Urayasu, Tokyo",321 reviews,"PKR 49,497",Standard Twin Room with Park View - Non Smoking,2 single beds,8.4
APA Villa Hotel Akasaka-Mitsuke,"Minato, Tokyo","1,297 reviews","PKR 16,887",Double Room with Small Double Bed - Smoking,1 single bed,7.6
Sotetsu Fresa Inn Nihombashi Kayabacho,"Chuo Ward, Tokyo",943 reviews,"PKR 19,615",Double Room - Non-Smoking ,1 double bed,8.2
Shinjuku Prince Hotel,"Shinjuku Ward, Tokyo","2,460 reviews","PKR 24,690",Standard Double Room - Non-Smoking,1 double bed,8.1
APA Hotel Shintomicho-Ekimae,"Chuo Ward, Tokyo",918 reviews,"PKR 15,140",Double Room - Smoking,1 double bed,7.7
Hundred Stay Tokyo Shinjuku,"Shinjuku Ward, Tokyo",857 reviews,"PKR 21,750",Comfort Double Room,1 large double bed,9
APA Hotel Shinjuku-Kabukicho Tower,"Shinjuku Ward, Tokyo","6,559 reviews","PKR 23,875",Double Room - Smoking,1 double bed,7.8
Mitsui Garden Hotel Shiodome Italia-gai,"Minato, Tokyo","2,930 reviews","PKR 22,616",Moderate Queen Room - Non-Smoking,1 large double bed,8.4
APA Hotel Iidabashi Ekimae,"Chiyoda, Tokyo","1,592 reviews","PKR 16,305",Double Room - Smoking,1 double bed,7.7
Pod Select Hotel Shinjuku,"Shinjuku Ward, Tokyo",240 reviews,"PKR 20,708",Superior Double Room,1 double bed,6.8
Hotel Oriental Express Tokyo Kamata,"Ota Ward, Tokyo","1,322 reviews","PKR 15,094",Standard Double Room - Non-Smoking,1 double bed,8.7
Hotel Trusty Tokyo Bayside,"Koto Ward, Tokyo",949 reviews,"PKR 24,981",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.1
the b sangenjaya,"Setagaya, Tokyo",625 reviews,"PKR 27,660",Superior Double Room - Non-Smoking,1 double bed,7.4
Sotetsu Fresa Inn Tokyo Kamata,"Ota Ward, Tokyo","1,315 reviews","PKR 18,925",Comfort Double Room - Non-Smoking,1 large double bed,8.1
Mitsui Garden Hotel Nihonbashi Premier,"Chuo Ward, Tokyo","2,720 reviews","PKR 29,917",Moderate Double Room,1 double bed,9
APA Hotel Shinagawa Togoshi Ekimae,"Shinagawa Ward, Tokyo",79 reviews,"PKR 18,052",Standard Double Room (Non Smoking),1 double bed,7.9
Hotel Monterey Ginza,"Chuo Ward, Tokyo","1,633 reviews","PKR 22,710",Economy Double Room - Non-Smoking,1 double bed,8.2
Sotetsu Fresa Inn Ginza-Nanachome,"Chuo Ward, Tokyo","2,975 reviews","PKR 16,247",Double Room - Non-Smoking ,1 double bed,8.4
Nishitetsu Inn Shinjuku,"Shinjuku Ward, Tokyo","2,438 reviews","PKR 20,265",Double Room with Small Double Bed -Smoking,1 double bed,8.5
GATE STAY Premium Ginza Shintomicho,"Chuo Ward, Tokyo",16 reviews,"PKR 41,927",Deluxe Double Room,1 double bed,8.9
Super Hotel Asakusa,"Taito, Tokyo",657 reviews,"PKR 16,014",Double Room with Loft Bed - Non-Smoking ,"2 beds (1 double, 1 bunk bed)",8.7
Comfort Inn Tokyo Roppongi,"Minato, Tokyo",993 reviews,"PKR 17,163",Standard Queen Room - Non-Smoking,1 large double bed,8.1
nine hours Suidobashi,"Chiyoda, Tokyo",766 reviews,"PKR 11,646",Special Offer - Two Capsule Rooms for Female Guests - Non-Smoking,Bed in dormitory,8.3
Henn na Hotel Tokyo Hamamatsucho,"Minato, Tokyo","1,278 reviews","PKR 15,286",Standard Double Room with Small Double Bed - Non-Smoking,1 double bed,8.2
Sutton Place Hotel Ueno,"Taito, Tokyo",129 reviews,"PKR 15,723",Standard Double Room,1 double bed,7.6
APA Hotel TKP Tokyo Nishi-Kasai,"Edogawa, Tokyo","1,213 reviews","PKR 17,470",Economy Double Room - Non-Smoking,1 single bed,8.2
APA Hotel Kanda Jimbocho Ekihigashi,"Chiyoda, Tokyo","2,032 reviews","PKR 15,723",Double Room - Smoking,1 double bed,8.1
APA Hotel Hatchobori-eki Minami,"Chuo Ward, Tokyo",709 reviews,"PKR 15,140",Double Room - Non-Smoking ,1 double bed,7.6
Hotel Gracery Tamachi,"Minato, Tokyo","1,201 reviews","PKR 19,653",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.7
Sotetsu Fresa Inn Tokyo Kanda,"Chiyoda, Tokyo","1,013 reviews","PKR 16,244",Double Room - Non-Smoking ,1 large double bed,8.4
Hotel Keihan Tsukiji Ginza Grande,"Chuo Ward, Tokyo","1,879 reviews","PKR 22,798",Casual Double Room - Non Smoking,1 large double bed,8.8
Keisei Richmond Hotel Tokyo Monzennakacho,"Koto Ward, Tokyo",350 reviews,"PKR 20,381",Standard Double Room - Non-Smoking,1 double bed,9
Miyako City Tokyo Takanawa,"Minato, Tokyo","1,489 reviews","PKR 27,951",Moderate King Room,1 large double bed,8.9
Sotetsu Fresa Inn Ueno-Okachimachi,"Taito, Tokyo","1,501 reviews","PKR 17,039",Double Room - Non-Smoking ,1 double bed,8.5
APA Hotel Ueno Hirokoji,"Chiyoda, Tokyo",156 reviews,"PKR 16,742",Standard Double Room,1 double bed,8.3
Theatel Haneda Ⅱ,"Ota Ward, Tokyo",89 reviews,"PKR 16,829",Twin Room,"2 beds (1 single, 1 sofa bed)",7.6
Theatel Haneda Ⅱ,"Ota Ward, Tokyo",89 reviews,"PKR 16,829",Twin Room,"2 beds (1 single, 1 sofa bed)",7.6
Ai Hotel Keikyu Kamata-ekimae,"Ota Ward, Tokyo",122 reviews,"PKR 20,255",Economy Double Room,1 double bed,7.8
APA Hotel Keikyu Kamata-Ekimae,"Ota Ward, Tokyo",25 reviews,"PKR 17,102",Superior Double Room,1 double bed,8.1
Court Residence Tokyo Nakano,"Nakano, Tokyo",178 reviews,"PKR 23,010",Deluxe Quadruple Room,2 double beds,8.5
Shinjuku Kuyakusho-mae Capsule Hotel,"Shinjuku Ward, Tokyo",853 reviews,"PKR 16,305",Special Offer - Two Capsule Rooms for Male - Non-Smoking,Shared dormitory room,7.5
Hotel K5,"Chuo Ward, Tokyo",90 reviews,"PKR 95,282",Standard Studio,Private studio • 1 bathroom • 33m²,9.2
Hotel Resol Akihabara,"Chiyoda, Tokyo","1,525 reviews","PKR 19,260",Double Room - Non-Smoking ,1 double bed,8.7
Hotel Sunroute Stellar Ueno,"Taito, Tokyo",545 reviews,"PKR 18,490",Small Double Room - Non-Smoking,1 double bed,8.1
APA Hotel Tokyo Ojima,"Koto Ward, Tokyo",685 reviews,"PKR 15,140",Double Room with Small Double Bed - Smoking,1 single bed,7.3
the b akasaka-mitsuke,"Minato, Tokyo","1,398 reviews","PKR 20,527",Double Room,1 double bed,8.2
APA Hotel Higashi Shinjuku Kabukicho,"Shinjuku Ward, Tokyo","1,250 reviews","PKR 18,052",Double Room with Small Double Bed - Smoking,1 single bed,7.8
Sotetsu Grand Fresa Tokyo-Bay Ariake,"Koto Ward, Tokyo","2,487 reviews","PKR 23,584",Standard Double Room - Smoking,1 double bed,8.2
APA Hotel Tokyo Itabashi Ekimae,"Toshima, Tokyo","1,185 reviews","PKR 17,761",Double Room - Non-Smoking ,1 double bed,7.5
HOTEL MYSTAYS Asakusabashi,"Taito, Tokyo","2,782 reviews","PKR 11,064", Eco Friendly Standard Semi Double - Non-Smoking,1 single bed,8.4
nine hours Hamamatsucho,"Minato, Tokyo",440 reviews,"PKR 13,976",Special Offer - 2 Capsule Rooms for Female - Non-Smoking,Shared dormitory room,8.3
Ueno Hotel,"Taito, Tokyo","2,809 reviews","PKR 11,646",Double Room - Non-Smoking ,1 double bed,7.5
Dormy Inn Akihabara,"Chiyoda, Tokyo","1,001 reviews","PKR 20,726",Moderate Double Room with Small Double Bed - Non-Smoking,1 single bed,8.6
APA Hotel Ayase Ekimae,"Adachi Ward, Tokyo",890 reviews,"PKR 18,052",Standard Double Room - Smoking,1 double bed,8.3
nine hours Otemachi-Imperial Palace,"Chiyoda, Tokyo","2,825 reviews","PKR 12,811",Special Offer - 2 Capsule Rooms in Female Dormitory Room - Non-Smoking,Bed in dormitory,8.3
IBASHO ShibuyaDogenzaka907,"Shibuya Ward, Tokyo",38 reviews,"PKR 23,293",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 20m²,8.8
Hotel Wing International Premium Tokyo Yotsuya,"Shinjuku Ward, Tokyo","1,018 reviews","PKR 18,160",Double Room with Small Double Bed - Smoking,1 double bed,8.4
GATE STAY NIHONBASHI SUITENGUMAE,"Chuo Ward, Tokyo",29 reviews,"PKR 39,307",Deluxe Double Room,1 double bed,8.9
Mustard Hotel Shibuya,"Shibuya Ward, Tokyo","2,600 reviews","PKR 56,368",Superior Double Room,1 double bed,8.1
APA Hotel Tsukiji-eki Minami,"Chuo Ward, Tokyo",904 reviews,"PKR 14,267",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.6
&AND HOSTEL MINAMISENJU,"Arakawa, Tokyo",646 reviews,"PKR 10,089",Economy Double Room,1 double bed,8
Candeo Hotels Tokyo Roppongi,"Minato, Tokyo","1,504 reviews","PKR 28,580",Room Selected at Check-In,1 single bed,8.5
Hotel Wing International Korakuen,"Bunkyo, Tokyo",366 reviews,"PKR 15,213",Small Double Room - Smoking,1 single bed,7.7
Bay Hotel Tokyo Hamamatsucho,"Minato, Tokyo",525 reviews,"PKR 18,389",Double Room - Non-Smoking ,1 double bed,8.4
Sotetsu Fresa Inn Hamamatsucho-Daimon,"Minato, Tokyo","2,260 reviews","PKR 17,761",Double Room with Small Double Bed - Smoking,1 single bed,8.1
do-c Ebisu,"Shibuya Ward, Tokyo","2,805 reviews","PKR 13,976",Special Offer - 2 Capsule Rooms for Female - Non-Smoking,Shared dormitory room,7.8
THE KNOT TOKYO Shinjuku,"Shinjuku Ward, Tokyo","9,095 reviews","PKR 17,929",16㎡ Superior Double Room - Non-Smoking,1 double bed,8.5
Hotel Wing International Shimbashi Onarimon,"Minato, Tokyo",585 reviews,"PKR 14,107",Small Double Room - Smoking,1 double bed,8.5
Sotetsu Fresa Inn Kanda-Otemachi,"Chiyoda, Tokyo",655 reviews,"PKR 15,461",Small Double Room - Non-Smoking,1 single bed,8.5
remm Akihabara,"Chiyoda, Tokyo",491 reviews,"PKR 21,835",Economy Double Room - Non-Smoking,1 double bed,8.6
GATE STAY Premium Nihonbashi,"Chuo Ward, Tokyo",13 reviews,"PKR 45,858",Deluxe Twin Room,2 single beds,9.5
S-peria Inn Nihombashi Hakozaki,"Chuo Ward, Tokyo",805 reviews,"PKR 18,343",Standard Double Room,1 double bed,8.1
Daiwa Roynet Hotel Nishi-Shinjuku,"Shinjuku Ward, Tokyo","2,762 reviews","PKR 24,169",Limited Time Offer - Standard Double Room - Non-Smoking,1 double bed,8.9
Chisun Inn Kamata,"Ota Ward, Tokyo",802 reviews,"PKR 18,576",Standard Double Room - Non-Smoking,1 double bed,7.3
Asakusa Hotel Hatago,"Taito, Tokyo",951 reviews,"PKR 13,829",Economy Double Room With Small Double Bed - Non Smoking,1 single bed,8.5
Shinagawa Prince Hotel,"Minato, Tokyo","7,938 reviews","PKR 26,634",Main Tower - Twin Room - Non-Smoking 6th-16th Floor ,2 single beds,7.9
